"('Intel', 'Phrases')",4
"('CityVille', 'FarmVille')",569
"('Fred', 'Hockey')",9
"('Evanescence', 'Xbox')",1
"('CityVille', 'Love')",146
"('God', 'Sade')",5
"('Movies', 'Reading')",315
"('Photography', 'Seether')",19
"('Eclipse', 'Expedia')",41
"('Reading', 'Smiling')",34
"('Garfield', 'Google')",137
"('Titanic', 'Twix')",87
"('Monica', 'Phrases')",7
"('Intel', 'Soccer')",1
"('Games', 'Nickelback')",16
"('Rocky', 'Ronaldinho')",126
"('Mayhem', 'Picnik')",1
"('Tyga', 'Zombieland')",3
"('Bonfires', 'Dogs')",1
"('Walking', 'Watermelon')",224
"('LMFAO', 'Shameless')",1
"('Food', 'Jeep')",6
"('GameStop', 'Jazz')",3
"('Playboy', 'Reading')",118
"('Spartacus', 'Windows')",5
"('Godsmack', 'Megadeth')",5
"('Phrases', 'Scarface')",2
"('Church', 'Singing')",1
"('Slash', 'Sugarland')",12
"('Family', 'Gatorade')",69
"('Slash', 'Transformers')",19
"('Twix', 'YoVille')",13
"('Classical', 'Dexter')",37
"('Lost', 'Softball')",1
"('LAUGHING', 'Rihanna')",2
"('Sublime', 'WALLE')",3
"('CrowdStar', 'Photography')",1
"('Degrassi', 'Drake')",167
"('Gerber', 'Jackass')",11
"('Partying', 'Playfish')",3
"('Avatar', 'Google')",6
"('Reggae', 'Rocky')",17
"('Nickelback', 'Softball')",7
"('PicBadges', 'Shakira')",15
"('Brownies', 'Common')",5
"('Fred', 'Wipeout')",1
"('Games', 'Skins')",3
"('Casino', 'Family')",267
"('Radiohead', 'Seinfeld')",19
"('Gladiator', 'PlayStation')",2
"('RightChange', 'Starburst')",2
"('Lost', 'Netflix')",5
"('Dogs', 'Drawing')",127
"('Beer', 'Brownies')",50
"('Bing', 'Disneyland')",3
"('Budweiser', 'Shameless')",2
"('Classical', 'Saw')",1
"('2012', '5Gum')",1
"('Graffiti', 'Love')",165
"('Friday', 'Hiking')",23
"('Glee', 'Glowsticks')",1235
"('Blues', 'Pop')",1
"('Football', 'Shameless')",19
"('CountryLife', 'Everything')",1
"('Hockey', 'LMFAO')",15
"('Batman', 'Love')",6
"('Prayer', 'Reading')",363
"('Coldplay', 'Movies')",2
"('Metallica', 'Rocky')",3
"('Hunting', 'NASCAR')",24
"('Basshunter', 'Gucci')",1
"('Bowling', 'Disney')",31
"('Sushi', 'Tennis')",72
"('Beyonc', 'Converse')",420
"('Conservative', 'Facebook')",325
"('LAUGHING', 'Monica')",10
"('300', 'Coldplay')",19
"('JWOWW', 'LuxDelux')",4
"('PetVille', 'Scrubs')",18
"('Comedy', 'Zoosk')",1
"('Chocolate', 'Pillsbury')",1
"('LAUGHING', 'PetVille')",4
"('Bible', 'Drinking')",36
"('Stewie', 'iPod')",6
"('Golf', 'Paramore')",1
"('Marines', 'Pink')",21
"('2011', 'Bowling')",49
