  Facebook    Family  ,24532
  Movies    Music  ,14553
  Eminem    Facebook  ,10236
  Love    MTV  ,9989
  Family    FarmVille  ,8710
  Love    Music  ,8214
  Rihanna    Rock  ,8050
  Jesus    Love  ,8005
  Photography    Pink  ,7938
  Lost    Love  ,7438
  Pink    Pizza  ,6530
  Everything    Facebook  ,6257
  Disney    Disneyland  ,6236
  2011    2012  ,6142
  Family    Football  ,6052
  Dance    Dancing  ,5942
  Dancing    Disney  ,5903
  House    Love  ,5738
  Drake    Eminem  ,5140
  Secret    Shakira  ,5073
  House    Jesus  ,4900
  Xbox    YouTube  ,4883
  Facebook    FarmVille  ,4868
  Love    Movies  ,4524
  Twilight    Usher  ,4473
  Music    NCIS  ,4378
  Starbucks    Starburst  ,4372
  Eminem    Everything  ,4331
  laughing    summer  ,4253
  Family    Food  ,4063
  History    House  ,4036
  Sleep    Sleeping  ,3936
  Games    God  ,3914
  Facebook    Football  ,3867
  God    Google  ,3854
  Money    Movies  ,3853
  Food    Football  ,3830
  God    House  ,3824
  Pizza    PlayStation  ,3819
  iPod    iTunes  ,3764
  Football    Friday  ,3759
  Beyonc    Bible  ,3722
  Shakira    Shrek  ,3647
  Eminem    Evanescence  ,3603
  Music    Photography  ,3477
  iTunes    laughing  ,3373
  Music    NBA  ,3361
  Love    Money  ,3349
  Rock    Secret  ,3333
  Oreo    Paramore  ,3222
  Love    Mario  ,3219
  Evanescence    Facebook  ,3093
  Money    Music  ,3068
  Muse    Music  ,3038
  Futurama    Games  ,3028
  Eminem    Family  ,3005
  Dexter    Disney  ,2988
  DORY    Dance  ,2971
  Shrek    Skittles  ,2957
  Windows    YouTube  ,2931
  Reading    Rihanna  ,2901
  FrontierVille    Games  ,2891
  Eclipse    Eminem  ,2878
  Football    Games  ,2872
  Skittles    Sleep  ,2845
  FarmVille    FishVille  ,2812
  Sports    Starbucks  ,2801
  House    Hugging  ,2720
  Rihanna    Shakira  ,2718
  Music    Nemo  ,2717
  Subway    Summer  ,2677
  Eating    Eminem  ,2653
  Monopoly    Movies  ,2614
  Soccer    Sports  ,2614
  LAUGHING    Love  ,2606
  Disney    Facebook  ,2563
  Love    Ludacris  ,2531
  Disney    Drake  ,2530
  FarmVille    Football  ,2526
  Starburst    Subway  ,2506
  Family    Fantasia  ,2498
  Doug    Drake  ,2483
  Pepsi    Photography  ,2477
  Kesha    Love  ,2474
  Queen    Quotes  ,2470
  Google    House  ,2465
  YoVille    YouTube  ,2451
  2012    25  ,2406
  Converse    DORY  ,2366
  Photography    Pizza  ,2349
  God    Jesus  ,2344
  House    Jackass  ,2335
  Skittles    Sleeping  ,2334
  Scrubs    Secret  ,2299
  India    Love  ,2291
  Music    Nike  ,2262
  Music    MythBusters  ,2249
  Love    Metallica  ,2242
  Reading    Rock  ,2242
  Pringles    Queen  ,2226
  PetVille    Photography  ,2211
  YouTube    iTunes  ,2209
  Dance    Disney  ,2199
  Cash    Chocolate  ,2197
  Pink    Queen  ,2197
  Singing    Skittles  ,2189
  Rihanna    Secret  ,2163
  Nike    Oreo  ,2150
  Chocolate    Church  ,2133
  2012    AKON  ,2104
  Friday    Games  ,2090
  Metallica    Movies  ,2082
  Usher    WWE  ,2063
  Nemo    Nickelback  ,2060
  Pop    Pringles  ,2043
  Metallica    Music  ,2035
  MTV    Mario  ,2028
  LMFAO    Love  ,1987
  FarmVille    Food  ,1987
  FarmVille    FrontierVille  ,1984
  DORY    Dancing  ,1976
  Jackass    Jesus  ,1970
  Games    Glee  ,1969
  Titanic    Twilight  ,1968
  Pizza    Pop  ,1965
  Glee    God  ,1963
  ESPN    Eminem  ,1962
  DORY    Disney  ,1962
  Cars    Cash  ,1962
  Football    Fred  ,1951
  PlayStation    Pringles  ,1948
  Music    Nickelback  ,1945
  CSI    Camping  ,1945
  Jesus    Journey  ,1940
  Movies    Muse  ,1932
  Games    House  ,1924
  Family    Games  ,1919
  Gucci    House  ,1904
  Pink    Pitbull  ,1901
  MTV    Music  ,1890
  Disney    Eminem  ,1889
  Baseball    Basketball  ,1882
  Bed    Beyonc  ,1879
  YouTube    iCarly  ,1877
  AKON    Avatar  ,1865
  House    Inception  ,1861
  2011    25  ,1859
  Family    God  ,1858
  Bones    CSI  ,1855
  Nickelback    Nike  ,1837
  2011    AKON  ,1837
  Music    Pink  ,1832
  Drake    Drinking  ,1803
  Paramore    Photography  ,1781
  Shakira    Skittles  ,1773
  Target    Texting  ,1760
  Starburst    Stewie  ,1755
  Family    Friday  ,1754
  Music    Oreo  ,1747
  Rock    Rocky  ,1745
  Jesus    Kesha  ,1743
  Love    Madea  ,1740
  Comedy    Converse  ,1734
  Megadeth    Metallica  ,1730
  Drinking    Eminem  ,1730
  Nickelback    Nirvana  ,1722
  Beyonc    BlackBerry  ,1719
  Monica    Movies  ,1718
  Sports    SportsCenter  ,1715
  Chocolate    Converse  ,1715
  Rain    Reading  ,1714
  Rock    Rugrats  ,1712
  Football    God  ,1710
  Metallica    Money  ,1709
  Saw    Secret  ,1707
  Cuddling    DORY  ,1704
  Bible    BlackBerry  ,1692
  Sleeping    Smiling  ,1685
  Friday    Futurama  ,1683
  Family    Futurama  ,1680
  Transformers    Twilight  ,1670
  FML    Facebook  ,1668
  Love    Photography  ,1663
  MTV    Movies  ,1661
  Summer    Texting  ,1650
  Walking    Walmart  ,1644
  Bible    Church  ,1640
  YouTube    iPod  ,1635
  Basketball    Beyonc  ,1635
  Oreo    Photography  ,1632
  Everything    Family  ,1620
  Usher    Walmart  ,1617
  Cash    Casino  ,1616
  Pitbull    Pizza  ,1609
  Drinking    Eating  ,1607
  Picnik    Pink  ,1596
  Disney    Disturbed  ,1588
  Nickelback    Oreo  ,1587
  Windows    Wipeout  ,1582
  Chocolate    CityVille  ,1578
  Rock    Saw  ,1576
  Nike    Nokia  ,1573
  Pillsbury    Pink  ,1567
  Shrek    Singing  ,1561
  YouTube    ZARA  ,1561
  Ferrari    Football  ,1560
  Oreo    Pepsi  ,1554
  Quotes    Rain  ,1543
  CSI    Cash  ,1538
  Dancing    Dexter  ,1536
  Jazz    Jesus  ,1534
  Glowsticks    God  ,1529
  Facebook    Games  ,1517
  Texting    Twilight  ,1514
  PlayStation    Pop  ,1511
  Secret    Skittles  ,1507
  Nutella    Oreo  ,1499
  House    Jazz  ,1493
  Rock    Shakira  ,1485
  Money    Monica  ,1484
  Dancing    Facebook  ,1484
  Starbucks    Subway  ,1483
  Lacoste    Love  ,1483
  Disney    Dogs  ,1471
  Sleeping    Slipknot  ,1464
  Basketball    Bible  ,1464
  Queen    Rihanna  ,1461
  Stewie    Subway  ,1461
  God    Gucci  ,1460
  Batman    Bed  ,1442
  Pink    PlayStation  ,1442
  Family    House  ,1441
  Korn    Love  ,1441
  300    AKON  ,1435
  Football    Futurama  ,1435
  Converse    Disney  ,1432
  Quotes    Rihanna  ,1428
  Evanescence    Everything  ,1422
  Bed    Beer  ,1421
  Queen    Rock  ,1420
  Beer    Beyonc  ,1419
  Pink    Pop  ,1417
  Basketball    Batman  ,1416
  AKON    Beyonc  ,1414
  FarmVille    Games  ,1413
  Love    Maxwell  ,1413
  Fred    Friday  ,1410
  PetVille    Pink  ,1409
  Monopoly    Music  ,1408
  Wipeout    Xbox  ,1399
  MTV    Metallica  ,1394
  Pop    Queen  ,1394
  Windows    Xbox  ,1389
  Monica    Music  ,1384
  Camping    Cash  ,1379
  God    Love  ,1370
  House    India  ,1364
  Queen    Reading  ,1362
  Coldplay    Converse  ,1359
  Nirvana    Oreo  ,1356
  Quotes    Reading  ,1355
  Drake    ESPN  ,1354
  Nelly    Nemo  ,1354
  NCIS    Nickelback  ,1353
  iPhone    iPod  ,1353
  YouTube    bubblewrap  ,1344
  iPod    laughing  ,1342
  Games    Love  ,1335
  KISS    Love  ,1334
  Summer    Swimming  ,1331
  Summer    Superbad  ,1330
  Subway    Sugarland  ,1326
  Paramore    Pepsi  ,1325
  Texting    Thunderstorms  ,1324
  Money    Monopoly  ,1322
  Saw    Scrubs  ,1320
  Kisses    Love  ,1319
  Football    Love  ,1317
  Bible    CSI  ,1316
  Jesus    KISS  ,1315
  House    Hunting  ,1311
  Facebook    God  ,1307
  Avatar    BMW  ,1306
  Nike    Nirvana  ,1296
  Friday    God  ,1293
  Walmart    YouTube  ,1292
  Photography    Picnik  ,1291
  Wipeout    YouTube  ,1290
  Nemo    Nike  ,1289
  Maxwell    Monica  ,1285
  Walking    Wanted  ,1282
  PlayStation    Playboy  ,1274
  Drake    Facebook  ,1272
  YouTube    Zoosk  ,1270
  Love    Maltesers  ,1266
  Facebook    Food  ,1266
  Friday    Friendship  ,1263
  Pringles    Rihanna  ,1246
  Pizza    Queen  ,1246
  Rock    Running  ,1246
  Hockey    House  ,1243
  Sleeping    Sports  ,1243
  Pink    Rock  ,1240
  CSI    Cars  ,1240
  Reptar    Rihanna  ,1237
  Glee    Glowsticks  ,1235
  Football    House  ,1235
  Jackass    Love  ,1230
  Horoscopes    House  ,1222
  AKON    Arsenal  ,1221
  CSI    Chocolate  ,1217
  iCarly    iPod  ,1215
  YouTube    laughing  ,1211
  Ludacris    MTV  ,1210
  Usher    Walking  ,1208
  Secret    Shrek  ,1207
  GoLikeUs    God  ,1207
  Games    Gatorade  ,1206
  Facebook    House  ,1204
  India    Intel  ,1203
  Mario    Music  ,1203
  NCIS    Nemo  ,1203
  Dancing    Daughtry  ,1202
  Nemo    Oreo  ,1202
  Family    Ferrari  ,1199
  Converse    Dance  ,1198
  Mario    Money  ,1196
  Bible    Bones  ,1196
  NBA    NFL  ,1194
  Music    NASCAR  ,1192
  Friendship    Games  ,1192
  Music    Nelly  ,1189
  Rap    Rihanna  ,1188
  MTV    Madonna  ,1185
  ChapStick    Chocolate  ,1183
  Pepsi    Pink  ,1181
  Troy    Twilight  ,1175
